Content,Url,Date
"""Power and diverse, Yes!  |  Complete all in one solution, NO!"" What do you like best about HubSpot Marketing Hub?Absolutely love the fact that you can pull reports, view live forms, manage social media, and even have your emails in one place, no more multiple platforms and remembering passwords and extra individual charges. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?Although HubSpot is a very diverse and expansive tool, I feel as though to sign up we are definitely lied to about it's capabilities. I was told we have ALL functionality as Wufoo and you do not when it comes to payment options and etc., you can only update your marketing contacts once a month, and although customer service is AMAZING, if the request gets elevated you have a VERY SLIM chance that your problem will be resolved. Also, the onboarding training IS not that great. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?Overall any small problems or technical issues are handled right away by the customer service team, who are phenomenal.  But larger problems are addressed or just told ""well that's just what we do...nothing"" Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-7844116,2023-01-01
"""Hubspot Is More Than Just A 2-in-1 Shampoo Bottle"" What do you like best about HubSpot Marketing Hub?When first introduced to HubSpot, I used to joke about it being a 2-in-1 shampoo bottle. AKA It overpromised and under-delivered. That was about three years ago. In that time, the product has constantly improved, their team has taken feedback, and I've seen their response improve the platform for the better.  I use the marketing hub daily for everything from content management, email, and social, and running over 250 automation workflows. It may have taken a bit of time. But it has become my marketing vehicle of choice, and I recommend it highly. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?The honest downsides are HubSpot hides some of the coolest features behind paywalls or doesn't always make it the easiest to find information. Once you get comfortable with using the community tab and contacting the chat service however, you typically see results quickly. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?Hubspot makes everything centralized, and I can get comfortable learning one interface. As a marketer, I've always used various tools and consolidating things into one source has been a power play for productivity. Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-7843602,2023-01-01
"""Hubspot delivers more value than most of our company recognizes"" What do you like best about HubSpot Marketing Hub?The best thing about marketing hub is the ability to tie all of the inbound efforts together to more easily measure marketing attribution, funnels, across multiple channels. Reporting and workflows are both very powerful, and the tools to run the campaigns is super easy to use. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?They get a ton of requests, so it can take time to get a particular feature upgraded. However, it's easy to see new features and improves on a regular basis roll into the platform. Our relationship with a dedicated account manager is helpful for cutting through the noise to get answers and expertise. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?Allows a single marketer to effectively manage multiple channels and marketing tasks. Email drips and newsletters, web and blog, SEO, social media, chatbot, on-page popups, conference attendance, and more are managed and tracked by a single staff. All of the data produced by visitors, prospects, and customers, across every marketing channel, is tracked in Hubspot and can be analyzed via reporting on a huge array of data points both out of the box and custom. Super easy for us to set up custom properties to track to fit our strategy and business model. Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-7839383,2023-01-01
"""All-in-one marketing, sales, and customer service platform that provides a seamless user experience."" What do you like best about HubSpot Marketing Hub?Some of the most helpful aspects of HubSpot Marketing Hub include:  All-in-one platform: HubSpot Marketing Hub offers a suite of tools for inbound marketing, including email marketing, social media management, lead generation, and analytics, all in one platform, making it easy to manage marketing campaigns.  User-friendly interface: The platform is designed to be intuitive and user-friendly, with drag-and-drop editors, customizable templates, and simple navigation.  Marketing automation: HubSpot Marketing Hub includes robust automation capabilities, allowing businesses to streamline their marketing processes and save time.  Integration with other HubSpot products: HubSpot Marketing Hub integrates seamlessly with other HubSpot products, such as the Sales and Service Hubs, to create a comprehensive platform for managing the entire customer journey.  Overall, the upsides of using HubSpot Marketing Hub include improved efficiency, better lead generation, and a more cohesive and effective marketing strategy. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?While HubSpot Marketing Hub is a powerful and comprehensive platform for inbound marketing, there are some potential downsides to consider, including:  Cost: HubSpot Marketing Hub can be relatively expensive compared to other marketing automation tools, especially for smaller businesses or startups.  Steep learning curve: While the platform is designed to be user-friendly, some users may find that it takes time to learn all of the features and capabilities of the system.  Limited flexibility: While the platform offers a lot of customization options, some users may find that they are limited by the available templates and design options.  Customer support: While HubSpot offers extensive resources for learning the platform, some users have reported that customer support can be slow to respond or less helpful than expected.  Overall, the downsides of using HubSpot Marketing Hub are mostly related to cost and complexity, and businesses should carefully evaluate whether the platform is the right fit for their needs and budget. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?HubSpot Marketing Hub solves a range of problems related to inbound marketing and sales, including:  Integration: HubSpot Marketing Hub integrates a range of marketing tools into a single platform, making it easier for businesses to manage and coordinate their marketing efforts.  Automation: The platform includes robust automation capabilities, allowing businesses to streamline their marketing processes and save time.  Lead generation: HubSpot Marketing Hub provides tools for generating leads, nurturing them through the sales funnel, and converting them into customers.  Analytics: The platform includes extensive analytics and reporting features, allowing businesses to track the effectiveness of their marketing campaigns and make data-driven decisions.  Overall, HubSpot Marketing Hub is helping businesses improve their marketing efficiency, generate more leads, and ultimately drive more sales. Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-7838735,2023-01-01
"""Great overall experience using HubSpot Marketing Hub"" What do you like best about HubSpot Marketing Hub?HubSpot Marketing Hub is one of the best platforms I know for managing all marketing email campaigns, landing pages, Good Ads, reporting and scheduling and analyzing social media posts & campaigns. I loved the functionality and the interface that HubSpot has, and overall how easy I can set up any workflows, contact lists, and campaigns. It's highly valuable for me to create trackable URLs, manage the marketing team and connect the website and blog to the systems to track everything better. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?I struggled a bit with blogging optimizations as the blog was written by tech specialists on HubSpot and had some errors that were difficult to resolve. Besides that, I did not like not the ""smart system"" of integration call rail with HubSpot; it is still constantly adding some duplicate contacts if the contact called multiple times. Also, I couldn't change the ""original source"" property or rename it which was tricky while integrating live chat support (third party) with our HubSpot system. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?It solves the ability to have everything in one place ( I can build webpages, and landing pages, manage blogging, optimization, SMM, SEO and Google Ads Integrations, and reporting). It benefit me a lot as I spend certain budget on marketing tools that are all connected in one systems which is amazing. Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-7838718,2023-01-01
"""Hubspot is our trojan horse into consumer experience"" What do you like best about HubSpot Marketing Hub?The experiences that our customers have with our company (and our products) are at the core of our brand identity, and we saw that likeness within HubSpot when we decided to partner with them. HubSpot has allowed us to consolidate our customer data in one spot (no easy feat), which unleashes a potential we simply did not have before. This allows us to better understand the journeys that our customers take and action those insights to create better experiences. The support we receive from our account management team is unparalleled - it is such a joy to work with individuals who value the experiences our customers have with us as much as we do. We cannot wait to see how we continue to grow with HubSpot. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?We've required additional support to get all of our data into the platform, as we have many custom integrations that extended our initial onboarding experience. That said, the Hubspot team has doubled down to help us get all of the needs situated, and we're moving full steam ahead. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?We want to better understand our customer journeys, product cohorts and affinities, and attribution modeling to give credit to each of the touchpoints a customer has with our brand. We also want to be able to action our learnings to positively change customer behaviors. Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-7804629,2023-01-01
"""Best marketing tool for businesses of every size"" What do you like best about HubSpot Marketing Hub?I did my research before buying this CRM tool. I have used it for two years and am very happy with it. I have tried many different CRM platforms and this is by far the best. It's very easy to create an account, log into Marketing Hub, and start using the features. I can easily create a company profile. I can also create and edit contacts very quickly. It is very easy to connect Marketing Hub with other software like WordPress.  I could track all my leads, emails, and contacts. I can create forms, create groups and email lists of contacts to collect leads, and track activities all in one place. It is a great tool to handle all my leads, emails, and contacts. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?Sometimes it's not easy to edit the prebuilt templates. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?I have used it to solve my marketing and sales problem. Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-6837854,2023-01-01
"""Great CRM and Marketing Hub!"" What do you like best about HubSpot Marketing Hub?I like that I can optimize my blogs for SEO and set up my topic clusters. I also like that I can easily publish those blogs and edit them when needed. I've recently set up a marketing dashboard to motion my email and blog KPIs and find it really helpful for my quarterly goals. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?I wish it was easier to set up the dashboards. Perhaps having a few in-application videos to understand all the functions would be helpful. Also, a few in-application videos for setting up workflows would be amazing. Hubspot is a very  powerful tool, however, the academy doesn't really give you in-depth instructions to understand all the functionalities. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?It helps us by keeping all of our sales and marketing efforts in one place with full visibility between teams. We enjoy being able to coordinate between departments on new initiatives. Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-7840207,2023-01-01
"""Great interphase and functionality"" What do you like best about HubSpot Marketing Hub?Hubspot marketing hub makes it easy to manage multiple content channels, including social media, blogs etc, from one single place. It also provides great analytics, and makes scheduling content for social media much easier, allowing you to post to multiple platforms at a time. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?It can be a little confusing to navigate, and understand insights, but once you get the hang of it, it's great. Bulk scheduling, where multiple days and time can be selected for a single update would be great, since some content needs to repeat on social media on a regular basis. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?Hubspot Marketing Hub makes it very easy to manage all types of content that need to be published, it really helps with branding and advertising, giving a holistic view of all content channels & types being pushed out by the entire brand marketing team. Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-7839219,2023-01-01
"""It's great to have a 360 view of our customers without integration headaches."" What do you like best about HubSpot Marketing Hub?Ease of use is very good. What seemed like a shortfall with HubSpot vs Salesforce initially has quickly been improved to parity and in many cases, ahead of Salesforce now. I like that rapid nature of building the platform and continually improving. Review collected by and hosted on G2.com.What do you dislike about HubSpot Marketing Hub?Reporting could be improved in comparison to other tools.  It's serviceable. However, it could be improved and not what I would consider a core strength of the product.  Overall, it's hard to pick a "" bad "" area.  The one thing I would say is something to watch is the cost is starting to get to the point it's less of a no-brainer compared to the past. Review collected by and hosted on G2.com.What problems is HubSpot Marketing Hub solving and how is that benefiting you?It combines a lot of previously disparate platforms that were used and loosely integrated. I appreciate how it's all in one platform and brings together what normally creates data silos. Review collected by and hosted on G2.com.",https://www.g2.com/survey_responses/hubspot-marketing-hub-review-7838855,2023-01-02
